qn1k,qn1a,numppl,qn1b,qn1c,qn1d,qn1f,qn1g,qn1h,qn1i,qn1jyear,qn1l,qn2a,qn2b,qn3a,qn3b,qn4a,qn4b,qn4c,qn4e,qn4j,qn20,qn24a,qn24b,qn25a,qn25b,qn25c,qn25d,qn28a,qn28b,cohort,ui_agect_arrival,ui_school,ui_emprate
1,4,4,4,4,16,2,10,97,1,2015,2,98,5,1, ,2,2,1,1, , ,1, ,2,2,1,8,1,1,3,1,1,3
1,1,4,1,1,32,1,2,96,38,2012, ,12,5,4,5,2,2,2,1, ,1,1, ,1, , , ,1,1,1,3,0,1
1,2,4,5,1,61,1,2,96,38,2012,2,0,1,1, ,4,4,1,2,2, ,1, ,1, , , ,1,1,1,5,0,3
1,3,4,5,1,63,2,2,96,38,2012,2,0,1,1, ,4,4,1,2,2, ,1, ,2,1, , ,1,1,1,5, ,3
1,4,4,6,4,29,2,2,96,38,2012,2,14,6,4,5,2,2,2,1, ,1,1, ,1, , , ,1,2,1,2,0,3
1,1,3,1,1,37,1,2,96,98,2012,2,12,97,5,97,2,2,2,2,1,1,1, ,1, , , ,1,1,2,3,0,1
1,2,3,2,1,28,2,14,97,40,2014, ,12,5,1, ,3,2,1,1, ,1,1, ,1, , , ,1,1,2,3,0,1
1,3,3,5,4,5,2,14,96,40,2014,2, , , , , , , , , , , , , , , , , , ,2,1, , 
1,1,4,1,1,60,1,10,10,1,2013, ,16,6,2,2,1,1,2,1, ,1,2,1,1, , , ,1,1,2,5,0,1
1,2,4,2,1,45,2,10,10,1,2013,2,20,6,2,5,3,2,1,1, , ,1, ,1, , , ,2,2,2,4,0,3
1,3,4,4,4,13,1,10,10,1,2013,2, , , , , , , , , , , , , , , , , , ,2,1, , 
1,4,4,4,4,7,1,10,10,1,2013,2, , , , , , , , , , , , , , , , , , ,2,1, , 
1,5,5,5,1,62,1,5,5,97,2013,2,9,5,5,11,4,4,1,1, ,1,1, ,1, , , ,1,1,2,5,0,1
1,1,5,1,1,57,1,2,96,97,2011,2,5,2,97,5,3,2,1,1, , ,1, ,1, , , ,2,2,1,4,0,3
1,2,5,2,1,55,2,2,96,97,2011,2,2,2,1, ,4,3,1,1, , ,1, ,1, , , ,1,1,1,4,0,3
1,3,5,4,1,30,1,2,96,97,2011, ,12,5,8,11,2,1,1,1, ,2,1, ,1, , , ,1,1,1,2,0,1
1,4,5,9,1,25,2,2,96,97,2011,2,10,4,1, ,2,1,1,1, ,2,1, ,1, , , ,1,1,1,2,0,3
1,5,5,8,4,3,2,24,96,97,2012,2, , , , , , , , , , , , , , , , , , ,1,0, , 
1,1,4,1,7,31,2,2,96,40,2012, ,12,5,5,9,3,2,2,1, , ,1, ,1, , , ,2,2,1,3,0,2
1,2,4,5,4,3,1,24,24,40, ,1, , , , , , , , , , , , , , , , , , ,1,1, , 
